2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
5,JUTE,1,2MININHELL 2MININHELL ( Pt. 1 ) | 2 Minutes In Hell ( Pt. 1 ),JuiceTheKidd,J Knight,Pedro Ramirez,-,2MININHELL,Playboi Carti x Maxo Kream x Father x Robb Banks Type Beat - Cash Talk (Prod. J. Knight),"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded January 19, 2016. File Exported January 19, 2016.","First Previewed January 19, 2016.","Surfaced January 15, 2019.",3:42,Single Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
6,JUTE,2,Ain't Talkin' Toronto (with RoadRunner GDo),JuiceTheKidd & RoadRunner GDo,TrellGotWings,Romel Williams,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",File Name: AINT TALKIN TORONTO Session Title: AINT TALKING TORONTO.ptx,"Instrumental (1): Future - Halftime [Type Beat] Instrumental (2): Future ft. Young Thug - ""Halftime"" [Type Beat]","Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded September 13, 2015.","First Previewed September 24, 2015. First Teased September 24, 2015.","Released October 20, 2015. Session Surfaced December 21, 2025.",4:04,Single Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
7,JUTE,3,Aye Aye,JuiceTheKidd,Dez Wright,Unknown,-,aye aye,,"[ ? ], [ ? ], Chicago, IL.",-,-,"Surfaced August 3, 2021.",6:07,Throwaway Track ( Complete ),Original File 375kbps (.caf)
8,JUTE,4,Blowin' Up Tuesday ( Remix ),JuiceTheKidd,Metro Boomin' & Sonny Digital,Romel Williams,Remixes ILOVEMAKONNEN's 'Tuesday'.,BLOWIN UP-JUICE,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded September 27, 2015. File Exported September 27, 2015.",-,"Surfaced June 11, 2020.",4:26,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
9,JUTE,5,Bout That (with RoadRunner GDo) Song was originally called 'About That'.,JuiceTheKidd & RoadRunner GDo,Bobby Williams,Pedro Ramirez,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",File Name: ABOUTTHAT_ Session Title: Juice da kidd enviyon session 17.ptx,Drake X ITRTITL X Noah 40 Shebib Type Beat w_ Change - 6shots,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","GDo's Intro & Hook, Juice's Verse November 13, 2015. GDo's Verse November 15, 2015. File Exported November 15, 2015.",-,"Released February 28, 2016. Session Surfaced January 25, 2026.",4:52,Single Track ( Complete ),Studio Session & Original File 2117kbps (.wav)
10,JUTE,6,Don't Waste My Time Only You On My Mind,JuiceTheKidd,Unknown,Pedro Ramirez,-,DONTWASTEMYTIME,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 10, 2015. File Exported December 10, 2015.",-,"Surfaced June 11, 2020.",3:26,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
11,JUTE,7,Dough,JuiceTheKidd,L Beats,Dorian Snowden,Shares the same instrumental as Baylen's 'Maintain'.,Jay.B X Juice DaKidd - No Course,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.",-,"First Previewed July 15, 2025.","Surfaced January 6, 2026.",4:05,Throwaway Track ( Complete ),Original File 192kbps (.mp3)
12,JUTE,8,Fall Through Song is titled after the instrumental.,JuiceTheKidd,Niko Skipz Productions,Unknown,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",,Fall Through | DRAKE TYPE BEAT,"[ ? ], [ ? ], Chicago, IL.",-,-,"Released September 5, 2015.",4:05,Single Track ( Complete ),128kbps (.mp3)
13,JUTE,9,Finesse Me (feat. JuiceTheKidd) New Finesse,King Jefe,Unknown,Pedro Ramirez,-,FINESSEME,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 27, 2015. File Exported December 27, 2015.",-,"Surfaced July 7, 2020.",3:20,Feature Track ( Complete ),Original File 2117kbps (.wav)
14,JUTE,10,Fuck It How It Go?,JuiceTheKidd,Morgan Lightle,Unknown,-,fuck it,Monark The Producer-Warrior,"[ ? ], [ ? ], Chicago, IL.","Recorded July 3, 2015.",-,"Surfaced January 15, 2019.",3:28,Single Track ( Complete ),Original File 375kbps (.caf)
